식당명,식당주소,식당위도,식당경도
로맨틱새우 애월곽지본점,제주특별자치도 제주시 애월읍 곽지1길 12-12,33.44818802,126.3053091
리부아르,제주특별자치도 제주시 애월읍 애월해안로 686,33.48194581,126.3752205
리치망고 애월본점,제주특별자치도 제주시 애월읍 애월해안로 272,33.46858008,126.3401308
마노르블랑,제주 서귀포시 안덕면 일주서로2100번길 46,33.25424633,126.2946042
마농삼계탕,제주 서귀포시 김정문화로27번길 23-7,33.25407202,126.5075056
마농치킨 5호점,제주특별자치도 서귀포시 성산읍 일출로 251,33.46104329,126.9327117
마농치킨 중앙통닭 2호점,제주특별자치도 서귀포시 중앙로62번길 13,33.25039034,126.5628441
마루해물라면 제주공항점,제주특별자치도 제주시 서해안로 486-1,33.51896597,126.4911238
마시레치킨,제주특별자치도 제주시 애월읍 하귀로 61,33.48082408,126.4035528
마틸다,제주특별자치도 제주시 애월읍 고내1길 33,33.46569614,126.3342728
만강촌옛날칼국수,제주 제주시 월랑로 42,33.48929179,126.4760343
만미식당,제주 서귀포시 안덕면 사계남로 155,33.22881571,126.3066729
만배식당,제주특별자치도 제주시 도두항길 4-4,33.50600208,126.4673291
만선식당,제주 서귀포시 대정읍 하모항구로 44,33.21787686,126.2497996
만월당,제주 서귀포시 남원읍 남원체육관로 191,33.27929553,126.7058854
만족한상회 중문점,제주특별자치도 서귀포시 중문상로 58-5,33.25350518,126.4267252
만지식당,제주특별자치도 제주시 애월읍 고내로 13-1,33.46328748,126.3390598
맛나식당,제주 서귀포시 성산읍 동류암로 41,33.44857925,126.9160542
맛있수다 중문본점,제주특별자치도 서귀포시 예래로 50,33.25596849,126.4009215
망고하이,제주 서귀포시 일주서로 972,33.25823331,126.4069033
망고홀릭 애월해안도로점,제주특별자치도 제주시 애월읍 애월해안로 298,33.47053533,126.3416027
망고홀릭 제주본점,제주특별자치도 제주시 삼무로5길 2,33.49069573,126.4920048
망고홀릭 종달점,제주특별자치도 제주시 구좌읍 종달논길 18,33.49441159,126.902581
망고홀릭서귀포법환점,제주 서귀포시 막숙포로 83,33.23426043,126.5132495
맨도롱해장국,제주  서귀포시  태평로353번길  11 (서귀동),33.24708264,126.5601057
머들집,제주 서귀포시 대정읍 신영로36번길 41,33.21950614,126.247697
먹고정 서귀포올레시장본점,제주특별자치도 서귀포시 명동로 5-1,33.24723952,126.5624391
먹쿠슬낭카페,제주특별자치도 제주시 오라로 24,33.49801238,126.5070181
멍우주,제주 서귀포시 안덕면 난드르로 49-75,33.23259362,126.3673849
멜빌,제주 서귀포시 표선면 토산강왓로 7,33.30818939,126.7822678
면뽑는선생만두빚는아내 제주협재점,제주특별자치도 제주시 한림읍 일주서로 5608,33.42755048,126.2776518
명랑스낵,제주특별자치도 제주시 한림읍 한림로 585,33.40917142,126.2588172
명리동식당 애월점,제주특별자치도 제주시 애월읍 애월해안로 384-7,33.47227241,126.3495763
명원가든,제주  남제주군  성산읍 성산리  237-1,33.46471815,126.9336894
명호돗갈비 대평본점,제주특별자치도 서귀포시 안덕면 대평로 51,33.23730528,126.3623597
명호마농갈비 중문점,제주특별자치도 서귀포시 중문관광로 289,33.24625224,126.4290151
모니카옛날통닭,제주 제주시 도령로13길 16-3,33.49295848,126.4890653
모닥식탁,제주 제주시 구좌읍 한동로 134,33.53136396,126.8172263
모슬포한라전복 본점,제주특별자치도 서귀포시 대정읍 대한로 33,33.23048247,126.2451971
모이세해장국 노형점,제주특별자치도 제주시 월랑로 61,33.49035388,126.4740317
모이세해장국 법원점,제주 제주시 오복2길 31 오복2길 31,33.493543,126.536972
모이세해장국 연동점,제주특별자치도 제주시 연동11길 42,33.48621011,126.4930585
모이세해장국 중앙점,제주특별자치도 제주시 관덕로6길 11,33.5120844,126.5222046
모이세해장국모슬포점,제주특별자치도 서귀포시 대정읍 동일하모로 201,33.22603437,126.2527404
목포고을,제주 서귀포시 일주서로 968-5,33.25845457,126.4072189
몬스터살롱 애월,제주 제주시 애월읍 곽지리 1669-1,33.44827778,126.3072347
몰질식육식당,제주특별자치도 서귀포시 이어도로 598,33.2353653,126.4802629
무슈부부커피스탠드 관덕정,제주특별자치도 제주시 관덕로 22,33.51295651,126.5215755
무한의 서 커피로스터스,제주특별자치도 제주시 한림읍 옹포8길 5,33.40462597,126.2551128
문치비 서귀포신시가지점,제주특별자치도 서귀포시 신서로32번길 14,33.25285372,126.5060385
문화통닭,제주 서귀포시 성산읍 고성오조로 81,33.45089063,126.9143582
물,제주 제주시 삼무로11길 9,33.49260514,126.4963347
물항식당 탑동점,제주특별자치도 제주시 임항로 37-4,33.51690901,126.529084
미국식 제주점,제주특별자치도 제주시 노형동 1271-7,33.490239,126.479983
미보식당,제주 제주시 서광로2길 11-7,33.49920444,126.5135029
미스칠,제주 제주시 일주서로 7831,33.49393467,126.4833669
미영이네,제주특별자치도 서귀포시 대정읍 하모항구로 42,33.21774364,126.2498289
미진식당,제주 제주시 한림읍 한림해안로 145-1,33.416042,126.261605
미풍해장국 모슬포점,제주특별자치도 서귀포시 대정읍 신영로36번길 35,33.21983685,126.2470864
미풍해장국 서귀포점,제주특별자치도 서귀포시 동홍로12번길 3,33.24973078,126.5681312
미풍해장국 서귀포직영점,제주특별자치도 제주시 중앙로14길 13,33.51126656,126.5228807
미풍해장국 연동점,제주특별자치도 제주시 제원길 7,33.48923968,126.4895976
미풍해장국 제주항점,제주특별자치도 제주시 임항로 80,33.51763964,126.533943
미풍해장국 한림점,제주특별자치도 제주시 한림읍 한림상로 207,33.41688429,126.2683502
미향해장국 남원점,제주특별자치도 서귀포시 남원읍 태위로 623,33.27770561,126.7131726
미향해장국 동홍점,제주특별자치도 서귀포시 동홍남로 37,33.25705353,126.5722215
미향해장국 본점,제주특별자치도 서귀포시 일주서로 962,33.25837968,126.4079408
미향해장국 성산점,제주특별자치도 제주시 애월읍 중엄3길 52,33.47751629,126.3714696
미향해장국 중문점,제주특별자치도 서귀포시 일주서로 962,33.25837968,126.4079408
미향해장국 표선점,제주특별자치도 서귀포시 표선면 표선동서로 139,33.31703611,126.8282763
바다다,제주 서귀포시 대포로 148-15,33.23757909,126.4368359
바다를본돼지 서귀포올레시장점,제주특별자치도 서귀포시 칠십리로 123,33.24307483,126.5675802
바다멍,제주 제주시 한림읍 한림로 335,33.39362674,126.2403519
바다속고등어쌈밥 제주애월본점,제주특별자치도 제주시 애월읍 일주서로 7089,33.48428558,126.4068108
바다의집,제주 서귀포시 성산읍 병문로 236,33.46210553,126.9100877
바다풍경횟집,제주 제주시 서해안로 654,33.516173,126.5068409
바당국수,제주 서귀포시 동문동로 21-1,33.25042861,126.5656522
바당길,제주특별자치도 제주시 한림읍 한림서길 18,33.40975029,126.2585241
바당칼국수,제주 서귀포시 안덕면 대평감산로 35,33.23793109,126.3660197
바로족발보쌈별관,제주 제주시 진군중길 3,33.47849015,126.4796339
바바램,제주 제주시 도남로 21,33.49819517,126.5256156
바삭돈가스 애월해안도로점,제주 제주시 애월읍 애월해안로 724,33.48385078,126.378144
바이러닉 에스프레소 바 제주점,제주특별자치도 제주시 테우해안로 96,33.49767605,126.4445686
배스킨라빈스 제주성산점,제주특별자치도 서귀포시 성산읍 일주동로 4280,33.44645428,126.9124336
백기해녀의집,제주 서귀포시 성산읍 일출로 88-19,33.44983426,126.9224597
백년해장국 표선성읍점,제주특별자치도 서귀포시 표선면 서성일로 31,33.39482475,126.8006338
백록집 제주함덕점,제주특별자치도 제주시 조천읍 함덕로 24,33.54181199,126.6726417
백록횟집,제주 서귀포시 동문동로 6,33.24982702,126.5674326
백한철꽈배기&식빵,제주특별자치도 서귀포시 남원읍 남한로21번길 56,33.28136939,126.7114184
버거요 제주본점,제주특별자치도 제주시 애월읍 곽지1길 26,33.44841917,126.3042436
버드나무집,제주 제주시 조천읍 신북로 540,33.541486,126.667352
버드랜드,성신로2길 23-5,33.49277,126.487512
번네식당,제주  서귀포시  안덕면  산방로  16 번네식당,33.24571611,126.3297053
벌집식당,제주 서귀포시 태평로 416,33.24473726,126.5646829
범일분식,제주특별자치도 서귀포시 남원읍 태위로 658,33.27845175,126.7169239
벙커하우스,제주 서귀포시 막숙포로41번길 66,33.24071393,126.5191273
베릴,제주 제주시 한림읍 협재1길 19-8,33.3975721,126.2426584
별미해장국 본점,제주특별자치도 제주시 조천읍 신북로 608,33.540135,126.674478
보래드 베이커스,제주특별자치도 서귀포시 보목로64번길 178,33.24439868,126.5905662
보룡제과,제주 서귀포시 성산읍 고성오조로 48-1,33.44800394,126.9152224
보리타작 제주산방산점,제주특별자치도 서귀포시 안덕면 사계로114번길 54-12,33.24251562,126.3049501
복집식당,제주 제주시 비룡길 5,33.51259795,126.5184508
복희해장국,제주 제주시 임항로 29,33.51665222,126.5280472
본가 호텔더본제주점,제주특별자치도 서귀포시 색달로 18,33.25954121,126.4064777
봉주르마담,제주 서귀포시 대청로 33,33.25275061,126.5033324
부뚜막식당,제주 서귀포시 성산읍 고성오조로 11,33.44510396,126.9135377
부영식당,제주 제주시 조천읍 신흥관전길 60-1 1층,33.546343,126.6493
부전식당,제주 서귀포시 성산읍 성산중앙로 36,33.46289315,126.9332599
부촌,제주 서귀포시 성산읍 동류암로 33,33.44899349,126.9170278
북교해바라기,제주 제주시 중앙로 46-8,33.51442412,126.5241564
불턱버거,제주특별자치도 서귀포시 일주서로570번길 1,33.25311497,126.4480933
뷰스트,제주 서귀포시 안덕면 형제해안로 30,33.22782533,126.3034631
브라보,제주 제주시 산지로 19,33.51520961,126.5295569
블루메베이글,제주 제주시 가령로4길 3,33.4966891,126.5331738
블루메베이글 노형점,제주특별자치도 제주시 노형1길 43,33.47970852,126.4775927
비마이게스트,제주 제주시 한림읍 한림로 406,33.39797306,126.2455093
비주비주 한림점,제주특별자치도 제주시 한림읍 한림해안로 9,33.40590588,126.2549062
빠빠라기,제주 제주시 중앙로 218,33.49998799,126.5292979
빠빠라기 신제주점,제주특별자치도 제주시 신광로 45,33.48801964,126.4902074
빵귿,제주 제주시 구남동6길 45-1,33.48710148,126.5351323
뼈대감 본점,제주 제주시 한림읍 동명북1길 13,33.411647,126.26427
뽈살집 본점,제주특별자치도 서귀포시 중정로91번길 41,33.25082854,126.5628473
뽈살집한림점,제주특별자치도 제주시 한림읍 한림상로 194,33.41565982,126.2692485
사계바다 통갈치조림구이 제주산방산점,제주 서귀포시 안덕면 형제해안로 26 1층 사계바다,33.22784216,126.3038182
사계의시간,제주 서귀포시 안덕면 사계남로 214,33.23228205,126.3089769
사계전복 산방산본점,제주특별자치도 서귀포시 안덕면 사계로 207,33.2484201,126.3031436
사계해녀의집,제주 서귀포시 안덕면 형제해안로 13-1,33.22785642,126.3050823
산방산초밥,제주 서귀포시 안덕면 화순로 119,33.2462711,126.3334393
산방식당,제주 서귀포시 대정읍 하모이삼로 62,33.22344942,126.2543547
산방식당 제주점,제주특별자치도 제주시 구남로8길 10-5,33.490184,126.5360098
산방흑돼지순대본점,제주특별자치도 서귀포시 안덕면 사계로114번길 53-27,33.24405767,126.3040345
산우정,제주 제주시 은남4길 29,33.48623131,126.4926467
산지물,제주 제주시 임항로 26,33.51631321,126.5275901
산지해장국,제주 제주시 임항로 34,33.51635125,126.5285151
산지해장국 노형직영점,제주특별자치도 제주시 노형9길 16-1,33.48327474,126.4764104
산지해장국 대정점,제주특별자치도 서귀포시 대정읍 상모로250번길 2,33.224408,126.26213
산지해장국 삼양점,제주특별자치도 제주시 일주동로 332-1,33.52103437,126.5804162
산지해장국 서귀포점,제주특별자치도 서귀포시 월드컵로 16,33.24816599,126.506904
산지해장국 성산점,제주특별자치도 서귀포시 성산읍 성산중앙로 30-4,33.46229032,126.9329087
